event_id,season_year,stage_label,week_label,day_label,match_date,match_order,game_number,team_a,team_b,winner,loser,map_name,map_mode,series_format,source_url,source_note
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,1,1,Cheeseburger,Poker Face,Poker Face,Cheeseburger,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,1,2,Cheeseburger,Poker Face,Poker Face,Cheeseburger,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,1,3,Cheeseburger,Poker Face,Poker Face,Cheeseburger,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,1,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,2,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,3,Crazy Raccoon,ZETA DIVISION,Crazy Raccoon,ZETA DIVISION,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,2,4,Crazy Raccoon,ZETA DIVISION,ZETA DIVISION,Crazy Raccoon,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,1,ZAN Esports,ONSIDE GAMING,ZAN Esports,ONSIDE GAMING,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,2,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,3,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,4,ZAN Esports,ONSIDE GAMING,ZAN Esports,ONSIDE GAMING,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 1,2026-03-20,3,5,ZAN Esports,ONSIDE GAMING,ONSIDE GAMING,ZAN Esports,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,1,1,New Era,T1,T1,New Era,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,1,2,New Era,T1,T1,New Era,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,1,3,New Era,T1,T1,New Era,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,2,1,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,2,2,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,2,3,Cheeseburger,Team Falcons,Team Falcons,Cheeseburger,Suravasa,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,3,1,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,3,2,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,3,3,ZAN Esports,Crazy Raccoon,ZAN Esports,Crazy Raccoon,Esperanca,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 2,2026-03-21,3,4,ZAN Esports,Crazy Raccoon,Crazy Raccoon,ZAN Esports,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,1,1,Poker Face,New Era,Poker Face,New Era,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,1,2,Poker Face,New Era,Poker Face,New Era,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,1,3,Poker Face,New Era,Poker Face,New Era,Midtown,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,2,1,ONSIDE GAMING,T1,ONSIDE GAMING,T1,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,2,2,ONSIDE GAMING,T1,T1,ONSIDE GAMING,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,2,3,ONSIDE GAMING,T1,T1,ONSIDE GAMING,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,2,4,ONSIDE GAMING,T1,ONSIDE GAMING,T1,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,2,5,ONSIDE GAMING,T1,ONSIDE GAMING,T1,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,3,1,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,3,2,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,3,3,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,3,4,ZETA DIVISION,Team Falcons,Team Falcons,ZETA DIVISION,Numbani,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 1,Day 3,2026-03-22,3,5,ZETA DIVISION,Team Falcons,ZETA DIVISION,Team Falcons,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,1,1,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,Oasis,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,1,2,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,Watchpoint: Gibraltar,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,1,3,Cheeseburger,ZAN Esports,ZAN Esports,Cheeseburger,Aatlis,Flashpoint,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,2,1,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,Lijiang Tower,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,2,2,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,Esperanca,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,2,3,Poker Face,ZETA DIVISION,ZETA DIVISION,Poker Face,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,3,1,Crazy Raccoon,ONSIDE GAMING,ONSIDE GAMING,Crazy Raccoon,Busan,Control,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,3,2,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,Havana,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,3,3,Crazy Raccoon,ONSIDE GAMING,ONSIDE GAMING,Crazy Raccoon,Blizzard World,Hybrid,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,3,4,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,Runasapi,Push,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
owcs_2026_korea_stage_1,2026,Stage 1,Week 2,Day 1,2026-04-03,3,5,Crazy Raccoon,ONSIDE GAMING,Crazy Raccoon,ONSIDE GAMING,Rialto,Escort,bo5,https://liquipedia.net/overwatch/Overwatch_Champions_Series/2026/Asia/Stage_1/Korea,manual screenshot verification
